,Player,ROST%,Team,Pos
0,Tom Brady,100%,TB,QB
1,Cooper Kupp,100%,LAR,WR
2,Najee Harris,100%,PIT,RB
3,Austin Ekeler,100%,LAC,RB
4,Justin Jefferson,100%,MIN,WR
5,Dalvin Cook,100%,MIN,RB
6,Josh Allen,100%,BUF,QB
7,CeeDee Lamb,100%,DAL,WR
8,Tyreek Hill,100%,KC,WR
9,Joe Mixon,100%,CIN,RB
10,Nick Chubb,100%,CLE,RB
11,Patrick Mahomes,100%,KC,QB
12,Alvin Kamara,100%,NO,RB
13,Travis Kelce,100%,KC,TE
14,Mark Andrews,100%,BAL,TE
15,Ezekiel Elliott,100%,DAL,RB
16,Stefon Diggs,100%,BUF,WR
17,George Kittle,100%,SF,TE
18,Kyler Murray,100%,ARI,QB
19,Mike Evans,100%,TB,WR
20,Aaron Jones,100%,GB,RB
21,Davante Adams,100%,GB,WR
22,Jonathan Taylor,100%,IND,RB
23,Keenan Allen,99%,LAC,WR
24,Dak Prescott,99%,DAL,QB
0,Lamar Jackson,99%,BAL,QB
1,Antonio Gibson,99%,WAS,RB
2,Saquon Barkley,99%,NYG,RB
3,Terry McLaurin,99%,WAS,WR
4,DK Metcalf,99%,SEA,WR
5,Chris Godwin,99%,TB,WR
6,Aaron Rodgers,99%,GB,QB
7,Justin Herbert,99%,LAC,QB
8,Darrell Henderson,98%,LAR,RB
9,Ja'Marr Chase,98%,CIN,WR
10,David Montgomery,98%,CHI,RB
11,Tyler Lockett,98%,SEA,WR
12,Josh Jacobs,98%,LV,RB
13,Diontae Johnson,98%,PIT,WR
14,Deebo Samuel,98%,SF,WR
15,Matthew Stafford,98%,LAR,QB
16,Leonard Fournette,98%,TB,RB
17,Amari Cooper,98%,DAL,WR
18,James Robinson,98%,JAX,RB
19,James Conner,97%,ARI,RB
20,DJ Moore,97%,CAR,WR
21,Rob Gronkowski,97%,TB,TE
22,Adam Thielen,97%,MIN,WR
23,Kyle Pitts,97%,ATL,TE
24,Clyde Edwards-Helaire,97%,KC,RB
0,D'Andre Swift,96%,DET,RB
1,Darren Waller,96%,LV,TE
2,Tee Higgins,95%,CIN,WR
3,Mike Williams,95%,LAC,WR
4,Russell Wilson,95%,SEA,QB
5,Javonte Williams,94%,DEN,RB
6,Brandon Aiyuk,94%,SF,WR
7,Cordarrelle Patterson,94%,ATL,"WR,RB"
8,Jalen Hurts,94%,PHI,QB
9,Myles Gaskin,93%,MIA,RB
10,Marquise Brown,93%,BAL,WR
11,Jaylen Waddle,93%,MIA,WR
12,Michael Pittman,93%,IND,WR
13,Brandin Cooks,92%,HOU,WR
14,AJ Dillon,91%,GB,RB
15,Damien Harris,91%,NE,RB
16,Melvin Gordon,91%,DEN,RB
17,Odell Beckham,91%,LAR,WR
18,A.J. Brown,90%,TEN,WR
19,Mike Gesicki,90%,MIA,TE
20,Dallas Goedert,89%,PHI,TE
21,Joe Burrow,89%,CIN,QB
22,Zach Ertz,89%,ARI,TE
23,Miles Sanders,89%,PHI,RB
24,DeVonta Smith,89%,PHI,WR
0,Chase Claypool,89%,PIT,WR
1,Eli Mitchell,88%,SF,RB
2,Hunter Renfrow,88%,LV,WR
3,Kirk Cousins,87%,MIN,QB
4,Dalton Schultz,86%,DAL,TE
5,Kareem Hunt,86%,CLE,RB
6,Dawson Knox,85%,BUF,TE
7,Tony Pollard,84%,DAL,RB
8,Devonta Freeman,83%,BAL,RB
9,Tyler Higbee,83%,LAR,TE
10,Chuba Hubbard,82%,CAR,RB
11,Michael Gallup,82%,DAL,WR
12,Noah Fant,82%,DEN,TE
13,Jerry Jeudy,82%,DEN,WR
14,Chase Edmonds,81%,ARI,RB
15,Sony Michel,81%,LAR,RB
16,Derrick Henry,81%,TEN,RB
17,Rashaad Penny,76%,SEA,RB
18,Christian Kirk,76%,ARI,WR
19,Darnell Mooney,76%,CHI,WR
20,Van Jefferson,75%,LAR,WR
21,Courtland Sutton,74%,DEN,WR
22,DeAndre Hopkins,73%,ARI,WR
23,Devin Singletary,73%,BUF,RB
24,Cole Beasley,73%,BUF,WR
0,Julio Jones,72%,TEN,WR
1,Michael Carter,71%,NYJ,RB
2,Rhamondre Stevenson,71%,NE,RB
3,Jarvis Landry,71%,CLE,WR
4,Pat Freiermuth,70%,PIT,TE
5,Antonio Brown,69%,TB,WR
6,A.J. Green,69%,ARI,WR
7,DeVante Parker,68%,MIA,WR
8,Alexander Mattison,68%,MIN,RB
9,Jakobi Meyers,67%,NE,WR
10,Jamaal Williams,66%,DET,RB
11,Hunter Henry,65%,NE,TE
12,Ryan Tannehill,65%,TEN,QB
13,Tyler Boyd,64%,CIN,WR
14,Darrel Williams,64%,KC,RB
15,Calvin Ridley,64%,ATL,WR
16,D'Onta Foreman,64%,TEN,RB
17,T.J. Hockenson,63%,DET,TE
18,Derek Carr,62%,LV,QB
19,Taysom Hill,60%,NO,QB
20,Elijah Moore,56%,NYJ,WR
21,Jeff Wilson,56%,SF,RB
22,Marvin Jones,55%,JAX,WR
23,Jared Cook,55%,LAC,TE
24,Mike Davis,53%,ATL,RB
0,Allen Robinson,53%,CHI,WR
1,Kenny Golladay,51%,NYG,WR
2,Nyheim Hines,51%,IND,RB
3,Mark Ingram,50%,NO,RB
4,Russell Gage,50%,ATL,WR
5,Carson Wentz,50%,IND,QB
6,David Johnson,49%,HOU,RB
7,K.J. Osborn,48%,MIN,WR
8,Emmanuel Sanders,48%,BUF,WR
9,Tua Tagovailoa,47%,MIA,QB
10,Tyler Conklin,47%,MIN,TE
11,Christian McCaffrey,45%,CAR,RB
12,J.D. McKissic,44%,WAS,RB
13,Matt Ryan,41%,ATL,QB
14,Marquez Valdes-Scantling,41%,GB,WR
15,Rashod Bateman,41%,BAL,WR
16,Jimmy Garoppolo,41%,SF,QB
17,Zack Moss,38%,BUF,RB
18,Dontrell Hilliard,37%,TEN,RB
19,Gerald Everett,37%,SEA,TE
20,Robby Anderson,36%,CAR,WR
21,Ronald Jones,35%,TB,RB
22,Laviska Shenault,33%,JAX,WR
23,Mecole Hardman,33%,KC,WR
24,Austin Hooper,33%,CLE,TE
0,Mac Jones,33%,NE,QB
1,Chris Carson,32%,SEA,RB
2,Evan Engram,31%,NYG,TE
3,Kendrick Bourne,31%,NE,WR
4,Amon-Ra St.,30%,DET,WR
5,Jamison Crowder,29%,NYJ,WR
6,Kenyan Drake,28%,LV,RB
7,Baker Mayfield,28%,CLE,QB
8,Logan Thomas,27%,WAS,TE
9,Trevor Lawrence,27%,JAX,QB
10,Robert Woods,27%,LAR,WR
11,Rondale Moore,27%,ARI,WR
12,Latavius Murray,26%,BAL,RB
13,Justin Fields,26%,CHI,QB
14,Corey Davis,26%,NYJ,WR
15,Taylor Heinicke,26%,WAS,QB
16,Cole Kmet,25%,CHI,TE
17,Ben Roethlisberger,25%,PIT,QB
18,Teddy Bridgewater,24%,DEN,QB
19,Sterling Shepard,24%,NYG,WR
20,Kadarius Toney,24%,NYG,WR
21,Alex Collins,23%,SEA,RB
22,D'Ernest Johnson,23%,CLE,RB
23,Devontae Booker,23%,NYG,RB
24,Marquez Callaway,23%,NO,WR
0,Tim Patrick,22%,DEN,WR
1,Cam Newton,22%,CAR,QB
2,Tevin Coleman,22%,NYJ,RB
3,Ty Johnson,22%,NYJ,RB
4,Nick Westbrook-Ikhine,21%,TEN,WR
5,T.Y. Hilton,20%,IND,WR
6,David Njoku,20%,CLE,TE
7,Gabriel Davis,19%,BUF,WR
8,Jonnu Smith,19%,NE,TE
9,Boston Scott,19%,PHI,RB
10,Will Fuller,19%,MIA,WR
11,Nelson Agholor,18%,NE,WR
12,Robert Tonyan,18%,GB,TE
13,Khalil Herbert,17%,CHI,RB
14,Brandon Bolden,16%,NE,RB
15,C.J. Uzomah,16%,CIN,TE
16,Trey Sermon,16%,SF,RB
17,Daniel Jones,16%,NYG,QB
18,Michael Thomas,15%,NO,WR
19,Ricky Seals-Jones,15%,WAS,TE
20,Jermar Jefferson,15%,DET,RB
21,JuJu Smith-Schuster,14%,PIT,WR
22,Donovan Peoples-Jones,14%,CLE,WR
23,Kenneth Gainwell,13%,PHI,RB
24,Foster Moreau,13%,LV,TE
0,Craig Reynolds,13%,DET,RB
1,DJ Chark,13%,JAX,WR
2,Samaje Perine,13%,CIN,RB
3,Matt Breida,13%,BUF,RB
4,Gus Edwards,12%,BAL,RB
5,Raheem Mostert,12%,SF,RB
6,Trey Lance,12%,SF,QB
7,Royce Freeman,11%,HOU,RB
8,Curtis Samuel,11%,WAS,WR
9,Bryan Edwards,10%,LV,WR
10,Ryan Fitzpatrick,10%,WAS,QB
11,Josh Reynolds,10%,DET,WR
12,Rex Burkhead,10%,HOU,RB
13,J.K. Dobbins,10%,BAL,RB
14,Jordan Howard,10%,PHI,RB
15,Jalen Guyton,10%,LAC,WR
16,Deonte Harris,10%,NO,WR
17,Carlos Hyde,9%,JAX,RB
18,Irv Smith,9%,MIN,TE
19,Phillip Lindsay,9%,MIA,RB
20,Allen Lazard,9%,GB,WR
21,Tre'Quan Smith,9%,NO,WR
22,JaMycal Hasty,9%,SF,RB
23,Travis Etienne,8%,JAX,RB
24,Jeremy McNichols,8%,TEN,RB
